file,physical_pages,parsed_pages,chars,frag_ratio,avg_line_len,fw_ratio,bad_pages,verdict
基于批次回归系数的热轧带钢头部拉窄过程监控与诊断_孙勇.pdf,9,9,13118,0.4814,11.89,0.0234,3,可疑
基于持续优化侧压策略的轧制宽度控制方法.pdf,21,20,12638,0.016,22.49,0.0546,1,健康
基于有限元仿真的热连轧精轧带钢楔形控制分析_刘坤.pdf,8,8,12541,0.0959,21.47,0.0,0,健康
基于深度置信网络的热连轧精轧过程故障诊断方法.pdf,10,10,13380,0.1985,14.51,0.0027,0,健康
基于粒子群遗传优化的热轧带钢头尾宽度控制_田野.pdf,5,5,7145,0.0891,18.18,0.0606,0,健康
多模式连续铸轧生产线活套控制优化研究及应用_王彪.pdf,10,10,14164,0.1724,13.2,0.0525,0,健康
定宽压力机定宽过程中金属流动规律与板坯断面形状研究_彭文.pdf,10,10,13167,0.0592,19.0,0.0296,0,健康
宝钢2050_mm热轧粗轧短行程功能优化技术_李庆.pdf,3,3,2329,0.266,7.46,0.0475,0,健康
宽度控制理论及方法研究_白云强.pdf,5,5,6126,0.2644,8.02,0.0484,0,健康
带钢成品宽度控制研究_何威.pdf,2,2,2085,0.0286,19.86,0.0851,0,健康
带钢楔形程度的确定方法、装置、设备、介质及程序产品.pdf,12,10,7683,0.025,21.34,0.0465,3,健康
带钢热轧全流程质量建模与异常溯源的研究现状与展望_马亮.pdf,9,9,16900,0.0744,24.18,0.5897,0,可疑
带钢热轧宽度模型优化应用研究.pdf,57,57,30963,0.1856,15.08,0.087,2,健康
带钢精轧阶段高精度宽度控制策略_马更生.pdf,3,3,5306,0.2341,15.34,0.4506,0,可疑
常规1580热连轧机组生产1500mm宽度热轧带钢的轧制方法.pdf,5,4,3779,0.1117,19.18,0.0443,0,健康
常规热连轧精轧稳定性的影响因素及控制措施_方正.pdf,3,3,6041,0.1801,18.76,0.0649,0,健康
承钢1780mm热轧带钢拉窄原因分析与控制措施.pdf,3,3,2274,0.026,29.53,0.0533,0,健康
提高热轧带钢宽度控制精度的综合措施_李兴田.pdf,3,3,2473,0.0,26.03,0.0342,0,健康
提高热轧带钢成品的宽度控制精度_张宏献 .pdf,4,4,6647,0.0767,18.88,0.4061,0,可疑
本钢1700mm热轧机组带钢宽度精度的影响因素_姚义.pdf,5,5,3397,0.0,34.66,0.0387,0,健康
本钢1780mm热连轧粗轧机宽度模型_徐博.pdf,2,2,3852,0.4511,9.19,0.0432,1,可疑
梅钢1422mm热轧带钢宽度控制的改进_卞皓.pdf,3,3,2428,0.3634,7.06,0.0,0,可疑
浅析影响热轧带钢宽度精度的因素_侯宝辉.pdf,3,3,2947,0.0127,18.77,0.0142,0,健康
浅论热轧窄带钢的宽度控制_邹翠荣.pdf,2,2,1642,0.3182,7.46,0.0551,0,可疑
浅谈热轧带钢宽度控制系统AWC的应用_李杨.pdf,2,2,3302,0.0743,18.87,0.0633,0,健康
浅谈热连轧精轧机组活套控制模型_展恩颖.pdf,2,2,1596,0.1011,17.93,0.0495,0,健康
炉前板坯宽度校核模型开发与应用_刘旭辉.pdf,5,5,7512,0.1291,16.44,0.067,0,健康
热态钢板切分的探索与展望_李宏图.pdf,1,1,998,0.0435,43.39,0.0663,0,健康
热轧产线精轧设定计算研究与分析_崔岩.pdf,4,4,4244,0.0711,17.76,0.171,0,可疑
热轧卷头尾宽度控制研究及现场应用_李力凡.pdf,5,5,4969,0.0108,17.81,0.0,0,健康
热轧带钢内圈卷形缺陷成因分析及预防措施_丁美良.pdf,6,6,6301,0.0222,20.0,0.4527,0,可疑
热轧带钢头尾宽度尺寸控制优化_卢斌.pdf,4,4,2943,0.3391,6.4,0.0553,1,可疑
热轧带钢头尾宽度模型控制优化_邱华东.pdf,3,3,3625,0.2857,12.95,0.0557,0,健康
热轧带钢头尾拉窄的原因与对策_袁吉.pdf,3,3,2735,0.0143,19.54,0.056,0,健康
